Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Jamaica,146695,3199,94156.0,49340.0,49093.0,1071.0,1149550.0,384706.0,2988127.0
Japan,13598290,33159,11586379.0,1978752.0,108207.0,264.0,64104711.0,510107.0,125669125.0
Jordan,1715296,14083,1696674.0,4539.0,164703.0,1352.0,17018240.0,1634098.0,10414456.0
Kazakhstan,1362647,13666,1320732.0,28249.0,70804.0,710.0,11575012.0,601446.0,19245293.0
Kenya,337768,5672,331669.0,427.0,6006.0,101.0,3827700.0,68057.0,56242531.0
Kuwait,653730,2559,647555.0,3616.0,148496.0,581.0,8282574.0,1881401.0,4402343.0
Kyrgyzstan,201329,2991,196406.0,1932.0,29832.0,443.0,1907195.0,282599.0,6748776.0
Laos,211643,757,,,28235.0,101.0,1233207.0,164519.0,7495833.0
Latvia,871181,5901,845554.0,19726.0,472765.0,3202.0,7439689.0,4037304.0,1842737.0
Lebanon,1181614,10540,1087587.0,83487.0,174751.0,1559.0,4795578.0,709225.0,6761717.0
Lesotho,34040,702,24155.0,9183.0,15631.0,322.0,431221.0,198019.0,2177677.0
Liberia,7538,294,5747.0,1497.0,1421.0,55.0,139824.0,26354.0,5305704.0
Libya,505350,6433,490973.0,7944.0,71516.0,910.0,2477219.0,350571.0,7066238.0
Liechtenstein,18805,86,18536.0,183.0,490275.0,2242.0,102174.0,2663834.0,38356.0
Lithuania,1089998,9218,1038300.0,42480.0,412387.0,3488.0,10069350.0,3809612.0,2643143.0
Luxembourg,279354,1108,265463.0,12783.0,431617.0,1712.0,4362918.0,6740950.0,647226.0
Madagascar,66491,1408,64782.0,301.0,2279.0,48.0,497804.0,17062.0,29176303.0
Malawi,87547,2670,83973.0,904.0,4342.0,132.0,603849.0,29951.0,20161327.0
Malaysia,4697213,36003,4613676.0,47534.0,141350.0,1083.0,62628338.0,1884625.0,33231189.0
Maldives,184485,307,163687.0,20491.0,329198.0,548.0,2213831.0,3950399.0,560407.0
Mali,31232,739,30404.0,89.0,1455.0,34.0,721594.0,33613.0,21467827.0
Malta,113120,795,110728.0,1597.0,254777.0,1791.0,2023313.0,4557052.0,443996.0
Martinique,215140,1017,104.0,214019.0,574230.0,2714.0,828928.0,2212492.0,374658.0
Mauritania,62631,992,61242.0,397.0,12770.0,202.0,918852.0,187343.0,4904656.0
Mauritius,39535,1013,37576.0,946.0,30979.0,794.0,358675.0,281056.0,1276170.0
Mayotte,39344,187,,,137303.0,653.0,176919.0,617413.0,286549.0
Mexico,6821746,328128,5982348.0,511270.0,51774.0,2490.0,17777962.0,134928.0,131758912.0
Micronesia,6507,12,59.0,6436.0,55361.0,102.0,21923.0,186518.0,117538.0
Moldova,532187,11608,504142.0,16437.0,132569.0,2892.0,3216305.0,801189.0,4014413.0
Monaco,14104,57,13913.0,134.0,354176.0,1431.0,77770.0,1952941.0,39822.0
Mongolia,951735,2179,,,280877.0,643.0,4030048.0,1189353.0,3388438.0
Montenegro,262808,2753,253737.0,6318.0,418330.0,4382.0,2555520.0,4067797.0,628232.0
Morocco,1262082,16250,1242896.0,2936.0,33368.0,430.0,12268725.0,324369.0,37823328.0
Mozambique,229674,2216,227192.0,266.0,6942.0,67.0,1370614.0,41430.0,33082474.0
Myanmar,614158,19434,592943.0,1781.0,11132.0,352.0,8559637.0,155148.0,55170720.0
Namibia,169253,4065,164813.0,375.0,64186.0,1542.0,1062663.0,402995.0,2636913.0
Nepal,988821,11969,971250.0,5602.0,32710.0,396.0,5828708.0,192811.0,30230211.0
Netherlands,8347295,22510,8188138.0,136647.0,484915.0,1308.0,21107399.0,1226180.0,17213950.0
New Caledonia,70937,314,68254.0,2369.0,243582.0,1078.0,98964.0,339821.0,291224.0
New Zealand,1647826,2338,1603836.0,41652.0,329427.0,467.0,7406030.0,1480584.0,5002100.0
Nicaragua,18491,225,4225.0,14041.0,2724.0,33.0,,,6788992.0
Niger,9115,311,8628.0,176.0,350.0,12.0,254538.0,9777.0,26034987.0
Nigeria,261473,3147,254953.0,3373.0,1206.0,15.0,5441162.0,25098.0,216799566.0
North Macedonia,330016,9387,316490.0,4139.0,158418.0,4506.0,2101653.0,1008860.0,2083196.0
Norway,1456672,3623,1449807.0,3242.0,264384.0,658.0,11002430.0,1996929.0,5509676.0
Oman,395737,4260,384669.0,6808.0,73590.0,792.0,25000000.0,4648913.0,5377601.0
Pakistan,1557984,30505,1517492.0,9987.0,6779.0,133.0,29651107.0,129007.0,229841331.0
Palestine,598019,5368,584777.0,7874.0,111803.0,1004.0,3078533.0,575551.0,5348841.0
Panama,954369,8425,938038.0,7906.0,214153.0,1891.0,6772690.0,1519739.0,4456481.0
Papua New Guinea,44798,663,43982.0,153.0,4817.0,71.0,249149.0,26788.0,9300634.0
Paraguay,707109,19220,676279.0,11610.0,96661.0,2627.0,2646163.0,361728.0,7315331.0
Peru,3940482,214480,3602373.0,123629.0,116135.0,6321.0,33232447.0,979437.0,33930141.0
Philippines,3790309,60773,3695323.0,34213.0,33655.0,540.0,31587125.0,280465.0,112624069.0
Poland,6089166,116645,5335858.0,636663.0,161259.0,3089.0,36710425.0,972200.0,37760169.0
Portugal,5356285,24656,5209885.0,121744.0,528509.0,2433.0,43527258.0,4294868.0,10134714.0
Qatar,412137,681,404665.0,6791.0,146783.0,243.0,3765510.0,1341087.0,2807805.0
Romania,3106033,66143,2922671.0,117219.0,163733.0,3487.0,24186380.0,1274970.0,18970156.0
Russia,18672422,382651,18019883.0,269888.0,127836.0,2620.0,273400000.0,1871770.0,146064968.0
Rwanda,132276,1466,45522.0,85288.0,9710.0,108.0,5677519.0,416787.0,13622107.0
Réunion,434924,838,418572.0,15514.0,478653.0,922.0,1603660.0,1764899.0,908641.0
S. Korea,20273011,25191,18762912.0,1484908.0,394714.0,490.0,15804065.0,307704.0,51361209.0
Saint Kitts and Nevis,6470,46,6396.0,28.0,119850.0,852.0,108021.0,2000982.0,53984.0
Saint Lucia,28062,386,27456.0,220.0,151377.0,2082.0,209716.0,1131289.0,185378.0
Saint Martin,11667,63,1399.0,10205.0,291369.0,1573.0,112382.0,2806603.0,40042.0
Samoa,15405,29,1605.0,13771.0,76579.0,144.0,177396.0,881848.0,201164.0
San Marino,19983,118,19617.0,248.0,586356.0,3462.0,157634.0,4625411.0,34080.0
Saudi Arabia,810583,9257,796701.0,4625.0,22551.0,258.0,43929393.0,1222125.0,35945076.0
Senegal,87513,1968,85342.0,203.0,4954.0,111.0,1140607.0,64570.0,17664545.0
Serbia,2148615,16319,2040372.0,91924.0,247994.0,1884.0,10296026.0,1188370.0,8663990.0
Seychelles,45540,168,45230.0,142.0,457151.0,1686.0,,,99617.0
Sierra Leone,7736,125,,,930.0,15.0,259958.0,31262.0,8315441.0
Singapore,1742874,1531,1645378.0,95965.0,293101.0,257.0,24265502.0,4080753.0,5946329.0
Sint Maarten,10765,87,10658.0,20.0,245261.0,1982.0,62056.0,1413834.0,43892.0
Slovakia,1821908,20248,1790176.0,11484.0,333368.0,3705.0,7235238.0,1323885.0,5465157.0
Slovenia,1091371,6707,1060857.0,23807.0,524815.0,3225.0,2706288.0,1301392.0,2079534.0
Solomon Islands,21544,153,16357.0,5034.0,29838.0,212.0,5117.0,7087.0,722028.0
Somalia,27020,1350,13182.0,12488.0,1607.0,80.0,400466.0,23811.0,16818368.0
South Africa,4004555,101982,3897607.0,4966.0,65790.0,1675.0,25975203.0,426741.0,60868811.0
South Sudan,17780,138,15630.0,2012.0,1550.0,12.0,410280.0,35778.0,11467530.0
Spain,13245996,110719,12707465.0,427812.0,283079.0,2366.0,471036328.0,10066482.0,46792547.0
Sri Lanka,666232,16574,648164.0,1494.0,30843.0,767.0,6486117.0,300276.0,21600531.0
St. Vincent Grenadines,7098,115,6641.0,342.0,63559.0,1030.0,100720.0,901903.0,111675.0
Sudan,63074,4958,,,1372.0,108.0,562941.0,12242.0,45985365.0
Suriname,80982,1380,49599.0,30003.0,135513.0,2309.0,238565.0,399206.0,597598.0
Sweden,2545671,19402,2503116.0,23153.0,248828.0,1896.0,18775827.0,1835256.0,10230633.0
Switzerland,3953866,14066,3787559.0,152241.0,449985.0,1601.0,21877329.0,2489835.0,8786659.0
Syria,56453,3150,52861.0,442.0,3070.0,171.0,146269.0,7955.0,18387666.0
Taiwan,4696969,9136,4231381.0,456452.0,196471.0,382.0,22996312.0,961920.0,23906685.0
